Isolate,County,City,State,Region,Fungicide_History,Year,Species
Czm_21_111,Warnick,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_112,Franklin,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_113,Hendricks,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_114,Wayne,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_115,Shelby,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_116,Whitley,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_117,Jackson,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_118,Grant,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_119,Delaware,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_120,Pike,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_121,Johnson,,IN,Midwest,,2021,C. zeae-maydis
Czm_21_122,,Hamilton,NY,Northeast,No,2021,C. zeae-maydis
Czm_21_123,,Hamilton,NY,Northeast,No,2021,C. zeae-maydis
Czm_21_124,,Hamilton,NY,Northeast,No,2021,C. zeae-maydis
Czm_21_125,,Bloomsbury,NJ,Northeast,No,2021,C. zeae-maydis
Czm_21_126,,Bloomsbury,NJ,Northeast,No,2021,C. zeae-maydis
Czm_21_127,,Bloomsbury,NJ,Northeast,No,2021,C. zeae-maydis
Czm_21_128,,Shacklefords,VA,Southeast,No,2021,C. zeae-maydis
Czm_21_129,,Centreville,MD,Northeast,Flutriafol,2021,C. zeae-maydis
Czm_21_130,,Honey Brook,PA,Northeast,No,2021,C. zeae-maydis
