"","Estimate","StdError","LowerBound","UpperBound","Isolate"
"e:1:5047",0.240634681757511,0.0204614170628235,0.197022203657446,0.284247159857575,"Czm_20_86"
"e:1:5048",0.48000502945443,0.0674318316717346,0.336277482481448,0.623732576427412,"Czm_20_87"
"e:1:5049",0.0798043653391884,0.0323165425819771,0.0109232853387703,0.148685445339607,"Czm_20_88"
"e:1:5050",0.320944906723225,0.0490298384935994,0.216440279747173,0.425449533699276,"Czm_20_89"
"e:1:5051",0.200661195510815,0.016867841640556,0.164708242111478,0.236614148910152,"Czm_20_90"
"e:1:5052",0.326636524157181,0.0972560518431601,0.119340156653139,0.533932891661222,"Czm_20_91"
"e:1:5053",0.242889506779582,0.0448829748164693,0.147223710503647,0.338555303055516,"Czm_20_92"
"e:1:5054",0.146089218152972,0.0259003438576014,0.0908839420078456,0.201294494298098,"Czm_20_93"
"e:1:5055",0.710240717217444,0.060788591854907,0.580672900733084,0.839808533701804,"Czm_20_94"
"e:1:5056",0.468431882772767,0.065052520061968,0.329775718449167,0.607088047096367,"Czm_20_95"
"e:1:5057",0.160759925550061,0.0910025304660772,-0.0332073766566488,0.354727227756771,"Czm_20_96"
"e:1:5058",0.240121125634784,0.0856162748963534,0.0576343554144307,0.422607895855137,"Czm_20_97"
"e:1:5059",0.323278447757001,0.0480005839267929,0.220967624959634,0.425589270554367,"Czm_20_98"
"e:1:5060",0.357088701180359,0.0815297256153697,0.183312204567866,0.530865197792852,"Czm_20_99"
"e:1:5061",0.406199528901399,0.0682683034211956,0.260689084598155,0.551709973204644,"Czm_21_1"
"e:1:5062",0.501411994367049,0.0817435019944071,0.327179844188605,0.675644144545492,"Czm_21_100"
"e:1:5063",0.278506461348066,0.0248947160935428,0.225444630043645,0.331568292652487,"Czm_21_101"
"e:1:5064",0.311681862113561,0.0267321906303566,0.25470354654267,0.368660177684452,"Czm_21_102"
"e:1:5065",0.24316281322976,0.0306097177713952,0.177919744196207,0.308405882263314,"Czm_21_103"
"e:1:5066",0.546158728545622,0.0452904136516669,0.449624496949562,0.642692960141681,"Czm_21_104"
"e:1:5067",0.400379603472037,0.0559780924649719,0.281065123726269,0.519694083217804,"Czm_21_105"
"e:1:5068",0.26491266490724,0.138710689663802,-0.0307421715409541,0.560567501355435,"Czm_21_106"
"e:1:5069",0.493769708092584,0.0232889356628301,0.444130516757474,0.543408899427694,"Czm_21_108"
"e:1:5070",0.471448960853093,0.0594774113827421,0.344675859390276,0.59822206231591,"Czm_21_109"
"e:1:5071",0.242904628830883,0.0369236659980384,0.164203697718963,0.321605559942803,"Czm_21_11"
"e:1:5072",0.201871159898134,0.0251586337413281,0.148246801443275,0.255495518352993,"Czm_21_110"
"e:1:5073",0.345346151274324,0.057478228350147,0.222834207577822,0.467858094970826,"Czm_21_111"
"e:1:5074",0.232717697208435,0.0403965207366819,0.146614551442039,0.318820842974832,"Czm_21_112"
"e:1:5075",0.265676493554155,0.0596703891191451,0.138492069782778,0.392860917325532,"Czm_21_113"
"e:1:5076",0.189409073043454,0.0238819445068077,0.138505913277335,0.240312232809573,"Czm_21_114"
"e:1:5077",0.37602207150054,0.0600231597980822,0.248085734825856,0.503958408175224,"Czm_21_115"
"e:1:5078",0.243606549749599,0.0379403005897483,0.162738713299179,0.324474386200019,"Czm_21_116"
"e:1:5079",0.230488227781766,0.0275883130409624,0.171685130487846,0.289291325075686,"Czm_21_117"
"e:1:5080",0.214804648368376,0.0225783237398425,0.166680090493588,0.262929206243165,"Czm_21_118"
"e:1:5081",0.231417117809629,0.027947956908741,0.171847457757168,0.290986777862089,"Czm_21_119"
"e:1:5082",0.270440256455681,0.0158319390237387,0.236695277218203,0.304185235693159,"Czm_21_120"
"e:1:5083",0.395264602000407,0.0287756120310646,0.33393083681359,0.456598367187224,"Czm_21_121"
"e:1:5084",0.2403234781517,0.0401110794309709,0.154828736126645,0.325818220176755,"Czm_21_122"
"e:1:5085",0.390020091794918,0.0731612053718721,0.234080673852436,0.5459595097374,"Czm_21_123"
"e:1:5086",0.271923420884546,0.0943259901244725,0.0708723320992631,0.472974509669828,"Czm_21_124"
"e:1:5087",0.507103967294759,0.0452203359336586,0.410719102818902,0.603488831770616,"Czm_21_125"
"e:1:5088",0.380744867820804,0.0582265924875002,0.256637823723828,0.504851911917781,"Czm_21_126"
"e:1:5089",0.202375602202403,0.025943137219737,0.147079114165,0.257672090239807,"Czm_21_127"
"e:1:5090",0.235240074991761,0.0251995536412232,0.181528497834866,0.288951652148655,"Czm_21_128"
"e:1:5091",0.219325448301931,0.047209364342704,0.118701070127509,0.319949826476353,"Czm_21_129"
"e:1:5092",0.416044701329285,1.16312104207982,-2.06308911524276,2.89517851790133,"Czm_21_13"
"e:1:5093",0.0588924552494073,0.0156997873390289,0.0254291506602489,0.0923557598385656,"Czm_21_130"
"e:1:5094",0.371255404845736,0.0360085100409047,0.294505082482765,0.448005727208707,"Czm_21_132"
"e:1:5095",0.110341980858041,0.0385789968985898,0.02811279545039,0.192571166265693,"Czm_21_133"
"e:1:5096",0.908141063274229,0.0726620150848289,0.753265644242213,1.06301648230624,"Czm_21_134"
"e:1:5097",0.290603677137552,0.047741914118715,0.188844195985064,0.392363158290041,"Czm_21_135"
"e:1:5098",0.114154966668064,0.0339098882615277,0.0418777507430483,0.18643218259308,"Czm_21_137"
"e:1:5099",0.168032350379635,0.030286569474014,0.103478055637683,0.232586645121586,"Czm_21_138"
"e:1:50100",0.165070406634236,0.0203676481112459,0.1216577923234,0.208483020945073,"Czm_21_139"
"e:1:50101",0.231219742536784,0.0483729084226621,0.128115328861896,0.334324156211672,"Czm_21_141"
"e:1:50102",0.234665470887059,0.0394896818476515,0.150495206458582,0.318835735315536,"Czm_21_142"
"e:1:50103",0.256741854930367,0.0309275184800771,0.190821409720715,0.322662300140019,"Czm_21_144"
"e:1:50104",0.208983950032379,0.0482679999714751,0.106103143428099,0.311864756636659,"Czm_21_145"
"e:1:50105",0.252140301878721,0.0326540066077596,0.182539934333906,0.321740669423536,"Czm_21_146"
"e:1:50106",0.289328909323212,0.0574629134015898,0.166849608666852,0.411808209979571,"Czm_21_147"
"e:1:50107",1.80929767477841,0.194085559679148,1.39561409680057,2.22298125275624,"Czm_21_154"
"e:1:50108",0.461041193974995,0.0471704349958903,0.360499791739147,0.561582596210842,"Czm_21_155"
"e:1:50109",0.334351402006551,0.0580105862721449,0.210704764259131,0.45799803975397,"Czm_21_157"
"e:1:50110",0.458320677262177,0.215822118785656,-0.00169327974525629,0.918334634269611,"Czm_21_160"
"e:1:50111",0.481012424596173,0.0554538255340152,0.362815393362145,0.599209455830201,"Czm_21_161"
"e:1:50112",0.489255605034597,0.0480446497698732,0.386850858116022,0.591660351953171,"Czm_21_162"
"e:1:50113",0.436247316523347,0.0301619959951895,0.371958543866225,0.50053608918047,"Czm_21_163"
