"","Isolate","Set","rep","ppm","one","two","average_length","avgC","relative"
"773","Czm_20_79","1",2,10,1,1,0,6.3625,0
"774","Czm_20_79","1",2,20,1,1,0,6.3625,0
"775","Czm_20_80","1",1,0,6.72,6.88,5.8,5.7025,1.01709776413854
"776","Czm_20_80","1",1,0.01,9.58,9.77,8.675,5.7025,1.521262604121
"777","Czm_20_80","1",1,0.1,6.25,7.69,5.97,5.7025,1.0469092503288
"778","Czm_20_80","1",1,0.5,2.98,3.53,2.255,5.7025,0.395440596229724
"779","Czm_20_80","1",1,1,3.56,3.95,2.755,5.7025,0.483121437965804
"780","Czm_20_80","1",1,2.5,1.17,1.01,0.0899999999999999,5.7025,0.0157825515124945
"781","Czm_20_80","1",1,5,1,1,0,5.7025,0
"782","Czm_20_80","1",1,10,1,1,0,5.7025,0
"783","Czm_20_80","1",1,20,1,1,0,5.7025,0
"784","Czm_20_80","1",2,0,5.93,7.28,5.605,5.7025,0.982902235861464
